Symbol;Company;Earnings Date;EPS Estimate;Reported EPS;Surprise (%)
AMZN;Amazon.com Inc;April 29, 2026 at 6 AM EDT;-;-;-
AMZN;Amazon.com Inc;February 4, 2026 at 4 PM EST;-;-;-
AMZN;Amazon.com Inc;October 29, 2025 at 6 AM EDT;-;-;-
AMZN;Amazon.com Inc;July 30, 2025 at 4 PM EDT;-;-;-
AMZN;Amazon.com, Inc.;May 1, 2025 at 4 PM EDT;???.36;???.59;+16.74
AMZN;Amazon.com, Inc.;February 6, 2025 at 4 PM EST;???.49;???.86;+24.47
AMZN;Amazon.com, Inc.;October 31, 2024 at 4 PM EDT;???.14;???.43;+25.17
AMZN;Amazon.com, Inc.;August 1, 2024 at 4 PM EDT;01.???;???.26;+22.58
AMZN;Amazon.com, Inc.;April 30, 2024 at 4 PM EDT;0.83;0.98;+17.91
AMZN;Amazon.com, Inc.;February 1, 2024 at 4 PM EST;0.8;1;+24.55
AMZN;Amazon.com, Inc.;October 26, 2023 at 4 PM EDT;0.58;0.94;+60.85
AMZN;Amazon.com, Inc.;August 3, 2023 at 4 PM EDT;0.35;0.65;+85.73
AMZN;Amazon.com, Inc.;April 27, 2023 at 4 PM EDT;0.21;0.31;+46.36
AMZN;Amazon.com, Inc.;February 2, 2023 at 4 PM EST;0.18;0.25;+42.56
AMZN;Amazon.com, Inc.;October 27, 2022 at 4 PM EDT;0.22;0.17;-21.08
AMZN;Amazon.com, Inc.;July 28, 2022 at 4 PM EDT;0.14;0.18;+24.9
AMZN;Amazon.com, Inc.;April 28, 2022 at 4 PM EDT;0.42;0.37;-11.7
AMZN;Amazon.com, Inc.;February 3, 2022 at 4 PM EST;0.18;0.29;+62.48
AMZN;Amazon.com, Inc.;October 28, 2021 at 4 PM EDT;0.45;0.31;-31.39
AMZN;Amazon.com, Inc.;July 29, 2021 at 4 PM EDT;0.62;0.76;+22.91
AMZN;Amazon.com, Inc.;April 29, 2021 at 4 PM EDT;0.48;0.79;+65.48
AMZN;Amazon.com, Inc.;February 2, 2021 at 4 PM EST;0.36;0.7;+94.84
AMZN;Amazon.com, Inc.;October 29, 2020 at 4 PM EDT;0.37;0.62;+66.95
AMZN;Amazon.com, Inc.;July 30, 2020 at 4 PM EDT;0.07;0.52;+605.29
AMZN;Amazon.com, Inc.;April 30, 2020 at 4 PM EDT;0.31;0.25;-19.83
AMZN;Amazon.com, Inc.;January 30, 2020 at 4 PM EST;0.2;0.32;+60.62
AMZN;Amazon.com, Inc.;October 24, 2019 at 4 PM EDT;0.23;0.21;-8.43
AMZN;Amazon.com, Inc.;July 25, 2019 at 4 PM EDT;0.28;0.26;-6.27
AMZN;Amazon.com, Inc.;April 25, 2019 at 4 PM EDT;0.24;0.35;+50.11
AMZN;Amazon.com, Inc.;January 31, 2019 at 4 PM EST;0.28;0.3;+6.34
AMZN;Amazon.com, Inc.;October 25, 2018 at 4 PM EDT;0.16;0.29;+82.98
AMZN;Amazon.com, Inc.;July 26, 2018 at 4 PM EDT;0.13;0.25;+99.84
AMZN;Amazon.com, Inc.;April 26, 2018 at 4 PM EDT;0.06;0.16;+159.65
AMZN;Amazon.com, Inc.;February 1, 2018 at 4 PM EST;0.09;0.11;+17.33
AMZN;Amazon.com, Inc.;October 26, 2017 at 4 PM EDT;-;0.03;+1656.76
AMZN;Amazon.com, Inc.;July 27, 2017 at 4 PM EDT;0.07;0.02;-71.81
AMZN;Amazon.com, Inc.;April 27, 2017 at 4 PM EDT;0.05;0.07;+36.46
AMZN;Amazon.com, Inc.;February 2, 2017 at 4 PM EST;0.07;0.08;+14.35
AMZN;Amazon.com, Inc.;October 27, 2016 at 4 PM EDT;0.04;0.03;-33.25
AMZN;Amazon.com, Inc.;July 28, 2016 at 4 PM EDT;0.06;0.09;+60.65
